ID,GEN,ARS,LAN,area,DH_demand,total_demand_cells,total_demand_area,share_DH,heat_density_DH,heat_density,DH_supplied_households
Chemnitz_145110000_c0,Chemnitz,145110000,Sachsen,0.15,307.32212847941963,1140.0026092529297,5228.01708984375,6.759231542698342,2.0488141898627976,34.853447265625,22.0
Chemnitz_145110000_c1,Chemnitz,145110000,Sachsen,0.09,294.5563964231488,1187.2294235229492,2751.18603515625,12.310876927505861,3.2728488491460976,30.568733723958335,30.0
Chemnitz_145110000_c2,Chemnitz,145110000,Sachsen,0.115,341.25935568326554,1392.5555000305176,4839.6875,8.107887917028982,2.9674726581153528,42.08423913043479,39.0
Chemnitz_145110000_c3,Chemnitz,145110000,Sachsen,47.28,420066.16262599244,690811.6339799166,1379730.25,35.00773423120783,8.884648109686811,29.182111886632825,67286.0
Chemnitz_145110000_c5,Chemnitz,145110000,Sachsen,0.59,333.66656416768274,1209.5992546081543,9419.923828125,4.072919142175178,0.5655365494367504,15.965972590042373,41.0
Chemnitz_145110000_c7,Chemnitz,145110000,Sachsen,0.175,624.2118550932032,2121.1808166503906,7206.43359375,9.959834307006636,3.5669248862468756,41.179620535714285,51.0
Chemnitz_145110000_c8,Chemnitz,145110000,Sachsen,2.525,13225.463211223345,25974.77274107933,75903.3203125,20.035058168654253,5.237807212365681,30.060720915841586,2106.0
Chemnitz_145110000_c9,Chemnitz,145110000,Sachsen,0.92,1053.8306423935642,5747.980010986328,20774.931640625,5.832727795012152,1.145468089558222,22.58144743546196,96.0
Chemnitz_145110000_c13,Chemnitz,145110000,Sachsen,0.045,292.23905609631134,1138.4204559326172,1901.8658447265625,17.66846690496237,6.494201246584696,42.26368543836806,65.0
Chemnitz_145110000_c15,Chemnitz,145110000,Sachsen,0.88,370.4908923783672,1313.2717323303223,5792.19482421875,7.35486770192757,0.42101237770269,6.5820395729758525,48.0
Chemnitz_145110000_c16,Chemnitz,145110000,Sachsen,0.335,321.664498273027,1258.7835159301758,5454.25830078125,6.781221334583893,0.9601925321582897,16.281368062033586,39.0
Chemnitz_145110000_c17,Chemnitz,145110000,Sachsen,0.05,749.755109412612,1340.5483322143555,2534.30224609375,34.017431233876664,14.995102188252242,50.68604492187501,196.0
Chemnitz_145110000_c19,Chemnitz,145110000,Sachsen,0.5,517.0133484876001,1582.750057220459,7269.2939453125,8.178054782106935,1.0340266969752,14.538587890625,50.0
Chemnitz_145110000_c20,Chemnitz,145110000,Sachsen,0.07,432.9042964553642,1653.3266906738281,4254.900390625,11.698845042967505,6.18434709221949,60.78429129464287,20.0
Amtsberg_145210010_c1,Amtsberg,145210010,Sachsen,0.19,336.13513540543795,1244.1418533325195,5052.44921875,7.649841613548499,1.7691322916075682,26.591837993421052,20.0
Annaberg-Buchholz_145210020_c1,Annaberg-Buchholz,145210020,Sachsen,0.155,233.66146406208023,1246.5079612731934,7485.6162109375,3.5892195656459167,1.5074933165295499,48.294298135080645,22.0
Annaberg-Buchholz_145210020_c3,Annaberg-Buchholz,145210020,Sachsen,1.08,12830.409975631976,25196.883876800537,60552.57421875,24.36399002963288,11.880009236696276,56.067198350694454,2910.0
Aue-Bad Schlema_145210035_c0,Aue-Bad Schlema,145210035,Sachsen,1.75,13350.496220073532,27310.466537475586,64896.71484375,23.6545769491468,7.628854982899161,37.08383705357143,2267.0
Aue-Bad Schlema_145210035_c1,Aue-Bad Schlema,145210035,Sachsen,0.27,357.5729026760711,1055.23970413208,5631.80517578125,7.300581731688224,1.3243440839854488,20.85853768807871,25.0
Aue-Bad Schlema_145210035_c2,Aue-Bad Schlema,145210035,Sachsen,1.18,4575.606534170505,8542.53731060028,24506.4140625,21.468880288754978,3.8776326560766994,20.76814751059322,1018.0
Breitenbrunn/Erzgeb._145210110_c0,Breitenbrunn/Erzgeb.,145210110,Sachsen,0.215,308.5822134376404,763.0452194213867,3972.841552734375,8.931206589534957,1.435266109012281,18.478332803415697,21.0
Drebach_145210150_c0,Drebach,145210150,Sachsen,0.02,213.75259590801446,698.5451354980469,1516.265625,16.209760508248493,10.687629795400722,75.81328125,64.0
Drebach_145210150_c1,Drebach,145210150,Sachsen,0.185,237.62384606939452,657.8924865722656,2714.973876953125,10.063866233974577,1.284453221996727,14.675534470016892,19.0
Ehrenfriedersdorf_145210160_c0,Ehrenfriedersdorf,145210160,Sachsen,0.355,3928.094044671201,6992.181602478027,21076.79296875,21.429786154593586,11.06505364696113,59.37124779929577,707.0
Eibenstock_145210170_c0,Eibenstock,145210170,Sachsen,0.095,252.49341061020598,1299.75341796875,7068.77099609375,4.107207330233812,2.6578253748442737,74.40811574835526,17.0
Eibenstock_145210170_c1,Eibenstock,145210170,Sachsen,0.06,243.01121768432404,800.0968780517578,2764.142333984375,10.108958395561352,4.050186961405401,46.06903889973958,34.0
Gelenau/Erzgeb._145210200_c0,Gelenau/Erzgeb.,145210200,Sachsen,0.02,200.18624261778356,744.5704650878906,2308.1728515625,9.972553837252434,10.009312130889178,115.408642578125,14.0
Gelenau/Erzgeb._145210200_c1,Gelenau/Erzgeb.,145210200,Sachsen,0.27,328.8643298086108,1807.3778533935547,10039.6572265625,3.7665034966603277,1.2180160363281884,37.183915653935195,34.0
Großolbersdorf_145210240_c0,Großolbersdorf,145210240,Sachsen,0.115,1006.7323665115458,2588.2520294189453,4235.638671875,27.329747331822325,8.754194491404748,36.831640625000006,62.0
Großrückerswalde_145210250_c0,Großrückerswalde,145210250,Sachsen,0.135,370.35986005403555,1162.6612396240234,4019.984130859375,10.593514432424369,2.7434063707706344,29.77766022858797,21.0
Grünhain-Beierfeld_145210260_c0,Grünhain-Beierfeld,145210260,Sachsen,0.07,230.67017881223722,554.2343597412109,2140.906005859375,12.388945480198348,3.295288268746247,30.584371512276793,41.0
Grünhain-Beierfeld_145210260_c1,Grünhain-Beierfeld,145210260,Sachsen,0.125,547.9641741367058,1626.1271896362305,5651.068359375,11.149672072515054,4.383713393093646,45.208546875,35.0
Grünhain-Beierfeld_145210260_c2,Grünhain-Beierfeld,145210260,Sachsen,0.41,489.31815654924395,2388.164726257324,12843.0595703125,4.3808998384523825,1.1934589184127902,31.32453553734756,24.0
Hohndorf_145210290_c0,Hohndorf,145210290,Sachsen,0.58,554.9809240722278,2161.4195404052734,13879.54296875,4.597729111234702,0.9568636621934963,23.930246497844827,72.0
Jahnsdorf/Erzgeb._145210310_c0,Jahnsdorf/Erzgeb.,145210310,Sachsen,0.07,233.4814784754123,1214.7706680297852,3090.818359375,8.68599232770725,3.3354496925058905,44.15454799107144,21.0
Jahnsdorf/Erzgeb._145210310_c2,Jahnsdorf/Erzgeb.,145210310,Sachsen,0.045,383.4447302373884,713.4271099567413,2008.4541015625,21.952366871845243,8.520994005275298,44.632313368055556,77.0
Johanngeorgenstadt_145210320_c0,Johanngeorgenstadt,145210320,Sachsen,0.03,1136.8530191218201,1567.312740445137,1972.35693359375,66.27645919637948,37.895100637394,65.74523111979167,347.0
Johanngeorgenstadt_145210320_c1,Johanngeorgenstadt,145210320,Sachsen,0.045,772.8763472366591,2303.926300048828,4837.166015625,18.372130157173334,17.175029938592424,107.492578125,97.0
Lauter-Bernsbach_145210355_c0,Lauter-Bernsbach,145210355,Sachsen,0.435,357.3246830937348,1909.593614578247,16117.9384765625,2.5491419116522156,0.8214360530890455,37.05273213002874,36.0
Lößnitz_145210370_c0,Lößnitz,145210370,Sachsen,0.445,10073.23657090613,14942.948467254639,26138.2578125,44.31317686122139,22.636486676193552,58.73765800561798,2083.0
Marienberg_145210390_c0,Marienberg,145210390,Sachsen,0.16,413.540255599051,902.6234951019287,2029.96923828125,23.424418850941553,2.584626597494069,12.687307739257813,18.0
Marienberg_145210390_c1,Marienberg,145210390,Sachsen,1.39,6272.0357819038145,10750.307540893555,43426.76953125,16.607011767819003,4.512255958204183,31.242280238309352,1692.0
Mildenau_145210400_c0,Mildenau,145210400,Sachsen,0.225,178.30418230341715,723.9419343471527,4332.65380859375,4.732035902588082,0.7924630324596319,19.256239149305557,21.0
Neukirchen/Erzgeb._145210410_c0,Neukirchen/Erzgeb.,145210410,Sachsen,0.17,467.48417341651566,1616.1498318910599,4160.396484375,12.920302498182751,2.7499069024500926,24.472920496323532,63.0
Neukirchen/Erzgeb._145210410_c2,Neukirchen/Erzgeb.,145210410,Sachsen,0.2,191.7230993890008,472.9520568847656,3893.76708984375,5.6616753294817626,0.9586154969450041,19.46883544921875,23.0
Oberwiesenthal_145210440_c0,Oberwiesenthal,145210440,Sachsen,0.05,493.89795818547645,1327.305591583252,1975.2784423828125,28.750764459898985,9.87795916370953,39.50556884765626,101.0
Oberwiesenthal_145210440_c1,Oberwiesenthal,145210440,Sachsen,0.01,475.85882298549666,547.1653861999512,1342.8304443359375,40.74716867702071,47.58588229854966,134.28304443359374,17.0
Oelsnitz/Erzgeb._145210450_c0,Oelsnitz/Erzgeb.,145210450,Sachsen,0.385,273.22885200340124,1150.5373458862305,7888.423828125,3.9826928196682063,0.7096853298789643,20.489412540584414,27.0
Oelsnitz/Erzgeb._145210450_c2,Oelsnitz/Erzgeb.,145210450,Sachsen,0.705,1220.9578437751222,4604.148396015167,14803.30078125,9.483804564200986,1.7318550975533649,20.9975897606383,89.0
Oelsnitz/Erzgeb._145210450_c3,Oelsnitz/Erzgeb.,145210450,Sachsen,0.42,360.0724747291212,2011.4155960083008,10049.4912109375,4.1198968130059095,0.8573154160217171,23.927360026041665,40.0
